objectname,objectid,rating,baverage,average,avgweight,rank,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,imageid,year,language,other,itemtype
Unfair,179172,0,6.66207,7.50471,2.6364,660,Unfair,2,5,125,125,50,2017,"2,3,4,5",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Unicornus Knights,204605,0,5.71856,7.23769,3.5,3770,Unicornus Knights,2,6,90,90,60,2016,"3,4",,,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Unlock! Squeek & Sausage,216092,0,6.38571,7.36542,2.4444,1051,Unlock! Squeek & Sausage,1,6,75,75,45,2017,"1,2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Unlock! The Formula,216091,0,6.31047,7.18434,2.3333,1209,Unlock! The Formula,1,6,75,75,45,2017,"2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
UNO,2223,0,5.27449,5.34467,1.1304,14840,UNO,2,10,30,30,30,1971,"3,4,5,6,7,8","4,5,6",5+,No necessary in-game text,,,,,standalone
Vegas Showdown,15364,0,6.9372,7.21274,2.3585,396,Vegas Showdown,3,5,75,75,75,2005,"3,4,5",5,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Viceroy,157526,0,6.65421,6.98301,2.6257,674,Viceroy,1,4,60,60,45,2014,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Village,104006,0,7.40442,7.55701,3.0783,106,Village,2,4,90,90,60,2011,"2,3,4",4,12+,No necessary in-game text,,,,,standalone
VivaJava: The Coffee Game ?€? The Dice Game,139899,0,6.25214,6.82701,1.7391,1348,VivaJava: The Coffee Game ?€? The Dice Game,1,4,40,40,20,2014,"1,2,3,4",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Walk the Plank!,35505,0,6.13542,6.63668,1.25,1618,Walk the Plank!,3,5,20,20,20,2013,"3,4,5","4,5",6+,No necessary in-game text,,,,,standalone
"Warhammer 40,000: Conquest",156776,0,6.74913,7.44621,3.0579,582,"Warhammer 40,000: Conquest",2,2,45,45,45,2014,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
"Warhammer 40,000: Conquest",156776,0,6.74913,7.44621,3.0579,582,"Warhammer 40,000: Conquest",2,2,45,45,45,2014,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Wasabi!,33154,0,6.33511,6.5487,1.9044,1142,Wasabi!,2,4,45,45,30,2008,"2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Wasteland Express Delivery Service,195560,0,6.37898,7.74049,2.8182,1063,Wasteland Express Delivery Service,2,5,120,120,90,2017,"2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Welcome to the Dungeon,150312,0,6.56415,6.72982,1.2161,776,Welcome to the Dungeon,2,4,30,30,30,2013,"2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
What's It To Ya?,5772,0,5.67548,6.54464,1.2051,4325,What's It To Ya?,3,8,20,20,20,2003,"4,5,6,7,8","5,6",10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
White Elephant,98857,0,5.48469,5.32732,1,13065,White Elephant,3,7,15,15,15,2011,"3,4,5,6,7","5,6,7",8+,,,,,,standalone
Wits & Wagers,20100,0,6.8279,6.97329,1.2221,496,Wits & Wagers,3,7,25,25,25,2005,"4,5,6,7","6,7",8+,Unplayable in another language,,,,,standalone
World of Warcraft: The Adventure Game,29294,0,5.87096,6.16579,2.5652,2641,World of Warcraft: The Adventure Game,2,4,90,90,90,2008,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
World of Warcraft: The Boardgame,17223,0,6.34058,6.62514,3.4975,1136,World of Warcraft: The Boardgame,2,6,180,180,180,2005,"2,4,6",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Wrong Chemistry,79068,0,5.66192,6.10146,1.5714,4523,Wrong Chemistry,2,4,30,30,30,2012,"2,3,4",3,8+,No necessary in-game text,,,,,standalone
Wyatt Earp,878,0,6.548,6.87235,1.8421,799,Wyatt Earp,2,4,45,45,30,2001,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
XCOM: The Board Game,163602,0,6.86392,7.15452,2.9106,470,XCOM: The Board Game,1,4,120,120,60,2015,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Yamata??,213893,0,6.73011,7.32918,2.9437,594,Yamata??,2,4,80,80,40,2017,"2,3,4",2,12+,No necessary in-game text,,,,,standalone
Yamslam,41493,0,5.63273,6.15079,1.2083,5072,Yamslam,2,4,15,15,15,2009,"1,2,3,4",4,6+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Yardmaster,154634,0,5.98251,6.42365,1.25,2100,Yardmaster,2,5,20,20,20,2014,"2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Zombicide Season 3: Rue Morgue,161866,0,6.73835,7.69692,2.5161,589,Zombicide Season 3: Rue Morgue,1,12,180,180,60,2015,"1,2,3,4,5,6",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Zombie Tower 3D,189829,0,5.60973,6.6923,2,5623,Zombie Tower 3D,3,4,60,60,45,2015,"3,4","3,4",,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Zooloretto: The Dice Game,117942,0,6.06267,6.45784,1.2522,1836,Zooloretto: The Dice Game,2,4,15,15,15,2012,"2,3,4",3,6+,No necessary in-game text,,,,,standalone
